== Computing Ramchandran numbers ==
Using Parameters:
	INITIAL_ALPHA: 5
	MAX_INITIAL_DEPTH: 4
	ALPHA: 20
	MAX_TRIES: 150

AUTHOR                                 RAMCHANDRAN NUMBER
Nick Howgrave-Graham                   4
Johannes Metscher                      4
Sourabh Jain                           4
Farrokh Vatan                          4
Tianming Liu                           4
Keming Yu                              4
Zhemin Zhu                             4
Salim El Rouayheb                      4
Lars Eggert                            4
Subhendu Batabyal                      4
Bahram Jalali                          4
Yair Weiss                             4
Sang Gug Lee                           4
Silvestru Sever Dragomir               4
David Mcallester                       4
Sougato Bose                           4
Tie Liu                                4
Shirin Saeedi Bidokhti                 4
Kenneth Church                         4
Andrew Hatch                           4
Philip Woodland                        4
Sarit Kraus                            4
Sangtae Ha                             4
Lei Ying                               4
Conrad Lienhardt                       4
Michael J Layden                       4
Pedro Peris-Lopez                      4
Nitin Vaidya                           4
Thomas Schneider                       4
Niek Tax                               4
Christian Kirchner                     4
Dina Katabi                            4
Lin Zhang                              4
Bernard Mans                           4
Bing Li                                4
David A. Maltz                         4
Z. Morley Mao                          4
Alexei Pozdnoukhov                     4
Hao Tang                               4
A Ben Tal                              4
Andreas Holzinger                      4
Chen Feng                              4
Rittwik Jana                           4
Allison M Mckendrick                   4
Alexander A. Balandin                  4
Krishna P. Gummadi                     4
Florent F. Garcin                      4
Yves Grandvalet                        4
Alfonso Valencia                       4
Patrick Nguyen                         4
Frederique Oggier                      4
Anand Sarwate                          4
Mohammad Sadegh Rasooli                4
Arnold Baca                            4
Boris Mordukhovich                     4
Lin Zhong                              4
Qiwei Li                               4
Ying Xu                                4
Mehdi Tibouchi                         4
Aikaterini (Katerina) Mitrokotsa       4
Nina Taft                              4
Xiaoou Tang                            4
Daphna Weinshall                       4
Qiji Zhu                               4
Mayank Bakshi                          4
Amiya Kumar Rath                       4
Hai Liu                                4
Amitabha Mukerjee                      4
Vinod Prabhakaran                      4
Luis Sentis                            4
Vivek Borkar                           4
Jakob Hoydis                           4
Jagdish Patra                          4
Michael Riley                          4
Constantinos Daskalakis                4
Thomas Szkopek                         4
Xiaogang Wang                          4
Melda Yuksel                           4
Dr Luke Mathieson                      4
Virgilio Almeida                       4
Sidharth Jaggi                         4
Bhaskaran Raman                        4
Soura Dasgupta                         4
Narayanan Sadagopan                    4
Daniel Gatica-Perez                    4
Songhwai Oh                            4
Amin Shokrollahi                       4
Michel Galley                          4
Randall Berry                          4
Xin Hu                                 4
Dinesh Babu Jayagopi                   4
Matthias R. Fengler                    4
Tanja Lange                            4
Pang-Chang Lan                         4
Amir Globerson                         4
Zhouchen Lin                           4
Barbara Kieslinger                     4
Jens Perch Nielsen                     4
Natalia Silberstein                    4
Edward Herskovits                      4
David Tse                              4
William M. Farmer                      4
Gonzalo De Polavieja                   4
Vlad Popovici                          4
Richard F. Lyon                        4
Nathan Srebro                          4
Virag Shah                             4
Pascal Frossard                        4
Michel Thera                           4
Yanbin Wang                            4
Sriram Vishwanath                      4
Chia-Han Lee                           4
Wenwu Zhu                              4
Brammert Ottens                        4
Josef Kolbitsch                        4
Douglas Eck                            4
Alan Willner                           4
Jan Van Gemert                         4
Miika Komu                             4
Alessandro Vinciarelli                 4
Patrick Louis Combettes                4
Mar Jimenez Sevilla                    4
Chih-Chieh Cheng                       4
Ronald Poppe                           4
Adrian Lewis                           4
Pascal Wiggers                         4
Israel Cidon                           4
Chuan Wu                               4
Johan Du Preez                         4
Jean-Philippe Thiran                   4
Serge Vaudenay                         4
Wolfgang Reinhardt                     4
Ravi R Mazumdar                        4
Uday V. Shanbhag                       4
Changho Suh                            4
Feng Qian                              4
Chong-Wah Ngo                          4
Jehoshua Bruck                         4
Jungsik Kim                            4
Navendu Jain                           4
Sibasish Ghosh                         4
Onkar Dabeer                           4
Augustin Chaintreau                    4
Clayton Shepard                        4
Adrian Bowman                          4
Serafim Batzoglou                      4
Ankit Singh Rawat                      4
Amin Khajehnejad                       4
Guillaume Urvoy-Keller                 4
Alessandro Abate                       4
